09,09,	
0a,0a,

0c,0c,
0d,0d,
20,20, 
21,21,!
22,22,"
23,23,#
24,24,$
25,25,%
26,26,&
27,27,'
28,28,(
29,29,)
2a,2a,*
2b,2b,+
2c,2c,,
2d,2d,-
2e,2e,.
2f,2f,/
30,30,0
31,31,1
32,32,2
33,33,3
34,34,4
35,35,5
36,36,6
37,37,7
38,38,8
39,39,9
3a,3a,:
3b,3b,;
3c,3c,<
3d,3d,=
3e,3e,>
3f,3f,?
40,40,@
41,41,A
42,42,B
43,43,C
44,44,D
45,45,E
46,46,F
47,47,G
48,48,H
49,49,I
4a,4a,J
4b,4b,K
4c,4c,L
4d,4d,M
4e,4e,N
4f,4f,O
50,50,P
51,51,Q
52,52,R
53,53,S
54,54,T
55,55,U
56,56,V
57,57,W
58,58,X
59,59,Y
5a,5a,Z
5b,5b,[
5c,5c,\
5d,5d,]
5e,5e,^
5f,5f,_
60,60,`
61,61,a
62,62,b
63,63,c
64,64,d
65,65,e
66,66,f
67,67,g
68,68,h
69,69,i
6a,6a,j
6b,6b,k
6c,6c,l
6d,6d,m
6e,6e,n
6f,6f,o
70,70,p
71,71,q
72,72,r
73,73,s
74,74,t
75,75,u
76,76,v
77,77,w
78,78,x
79,79,y
7a,7a,z
7b,7b,{
7c,7c,|
7d,7d,}
7e,7e,~
8140,e38080,　
8141,e38081,、
8142,e38082,。
8143,efbc8c,，
8144,efbc8e,．
8145,e383bb,・
8146,efbc9a,：
8147,efbc9b,；
8148,efbc9f,？
8149,efbc81,！
814a,e3829b,゛
814b,e3829c,゜
814c,c2b4,´
814d,efbd80,｀
814e,c2a8,¨
8150,efbfa3,￣
8151,efbcbf,＿
8152,e383bd,ヽ
8153,e383be,ヾ
8154,e3829d,ゝ
8155,e3829e,ゞ
8156,e38083,〃
8157,e4bb9d,仝
8158,e38085,々
8159,e38086,〆
815a,e38087,〇
815b,e383bc,ー
815c,e28095,―
815d,e28090,‐
815e,efbc8f,／
815f,efbcbc,＼
8160,efbd9e,～
8161,e288a5,∥
8162,efbd9c,｜
8163,e280a6,…
8164,e280a5,‥
8165,e28098,‘
8166,e28099,’
8167,e2809c,“
8168,e2809d,”
8169,efbc88,（
816a,efbc89,）
816b,e38094,〔
816c,e38095,〕
816d,efbcbb,［
816e,efbcbd,］
816f,efbd9b,｛
8170,efbd9d,｝
8171,e38088,〈
8172,e38089,〉
8173,e3808a,《
8174,e3808b,》
8175,e3808c,「
8176,e3808d,」
8177,e3808e,『
8178,e3808f,』
8179,e38090,【
817a,e38091,】
817b,efbc8b,＋
817c,efbc8d,－
817d,c2b1,±
817e,c397,×
8180,c3b7,÷
8181,efbc9d,＝
8182,e289a0,≠
8183,efbc9c,＜
8184,efbc9e,＞
8187,e2889e,∞
8188,e288b4,∴
8189,e29982,♂
818a,e29980,♀
818b,c2b0,°
818c,e280b2,′
818d,e280b3,″
818e,e28483,℃
818f,efbfa5,￥
8190,efbc84,＄
8191,efbfa0,￠
8192,efbfa1,￡
8193,efbc85,％
8194,efbc83,＃
8195,efbc86,＆
8196,efbc8a,＊
8197,efbca0,＠
8198,c2a7,§
8199,e29886,☆
819a,e29885,★
819b,e2978b,○
819c,e2978f,●
819d,e2978e,◎
819e,e29787,◇
819f,e29786,◆
81a0,e296a1,□
81a1,e296a0,■
81a2,e296b3,△
81a3,e296b2,▲
81a4,e296bd,▽
81a5,e296bc,▼
81a6,e280bb,※
81a7,e38092,〒
81a8,e28692,→
81a9,e28690,←
81aa,e28691,↑
81ab,e28693,↓
81ac,e38093,〓
81bc,e28a82,⊂
81be,e288aa,∪
81bf,e288a9,∩
81c8,e288a7,∧
81c9,e288a8,∨
81cb,e28792,⇒
81dc,e28c92,⌒
81e0,e28992,≒
81e1,e289aa,≪
81e2,e289ab,≫
81e3,e2889a,√
81f0,e284ab,Å
81f3,e299ad,♭
81f4,e299aa,♪
81f5,e280a0,†
81f6,e280a1,‡
81f7,c2b6,¶
81fc,e297af,◯
824f,efbc90,０
8250,efbc91,１
8251,efbc92,２
8252,efbc93,３
8253,efbc94,４
8254,efbc95,５
8255,efbc96,６
8256,efbc97,７
8257,efbc98,８
8258,efbc99,９
8260,efbca1,Ａ
8261,efbca2,Ｂ
8262,efbca3,Ｃ
8263,efbca4,Ｄ
8264,efbca5,Ｅ
8265,efbca6,Ｆ
8266,efbca7,Ｇ
8267,efbca8,Ｈ
8268,efbca9,Ｉ
8269,efbcaa,Ｊ
826a,efbcab,Ｋ
826b,efbcac,Ｌ
826c,efbcad,Ｍ
826d,efbcae,Ｎ
826e,efbcaf,Ｏ
826f,efbcb0,Ｐ
8270,efbcb1,Ｑ
8271,efbcb2,Ｒ
8272,efbcb3,Ｓ
8273,efbcb4,Ｔ
8274,efbcb5,Ｕ
8275,efbcb6,Ｖ
8276,efbcb7,Ｗ
8277,efbcb8,Ｘ
8278,efbcb9,Ｙ
8279,efbcba,Ｚ
8281,efbd81,ａ
8282,efbd82,ｂ
8283,efbd83,ｃ
8284,efbd84,ｄ
8285,efbd85,ｅ
8286,efbd86,ｆ
8287,efbd87,ｇ
8288,efbd88,ｈ
8289,efbd89,ｉ
828a,efbd8a,ｊ
828b,efbd8b,ｋ
828c,efbd8c,ｌ
828d,efbd8d,ｍ
828e,efbd8e,ｎ
828f,efbd8f,ｏ
8290,efbd90,ｐ
8291,efbd91,ｑ
8292,efbd92,ｒ
8293,efbd93,ｓ
8294,efbd94,ｔ
8295,efbd95,ｕ
8296,efbd96,ｖ
8297,efbd97,ｗ
8298,efbd98,ｘ
8299,efbd99,ｙ
829a,efbd9a,ｚ
829f,e38181,ぁ
82a0,e38182,あ
82a1,e38183,ぃ
82a2,e38184,い
82a3,e38185,ぅ
82a4,e38186,う
82a5,e38187,ぇ
82a6,e38188,え
82a7,e38189,ぉ
82a8,e3818a,お
82a9,e3818b,か
82aa,e3818c,が
82ab,e3818d,き
82ac,e3818e,ぎ
82ad,e3818f,く
82ae,e38190,ぐ
82af,e38191,け
82b0,e38192,げ
82b1,e38193,こ
82b2,e38194,ご
82b3,e38195,さ
82b4,e38196,ざ
82b5,e38197,し
82b6,e38198,じ
82b7,e38199,す
82b8,e3819a,ず
82b9,e3819b,せ
82ba,e3819c,ぜ
82bb,e3819d,そ
82bc,e3819e,ぞ
82bd,e3819f,た
82be,e381a0,だ
82bf,e381a1,ち
82c0,e381a2,ぢ
82c1,e381a3,っ
82c2,e381a4,つ
82c3,e381a5,づ
82c4,e381a6,て
82c5,e381a7,で
82c6,e381a8,と
82c7,e381a9,ど
82c8,e381aa,な
82c9,e381ab,に
82ca,e381ac,ぬ
82cb,e381ad,ね
82cc,e381ae,の
82cd,e381af,は
82ce,e381b0,ば
82cf,e381b1,ぱ
82d0,e381b2,ひ
82d1,e381b3,び
82d2,e381b4,ぴ
82d3,e381b5,ふ
82d4,e381b6,ぶ
82d5,e381b7,ぷ
82d6,e381b8,へ
82d7,e381b9,べ
82d8,e381ba,ぺ
82d9,e381bb,ほ
82da,e381bc,ぼ
82db,e381bd,ぽ
82dc,e381be,ま
82dd,e381bf,み
82de,e38280,む
82df,e38281,め
82e0,e38282,も
82e1,e38283,ゃ
82e2,e38284,や
82e3,e38285,ゅ
82e4,e38286,ゆ
82e5,e38287,ょ
82e6,e38288,よ
82e7,e38289,ら
82e8,e3828a,り
82e9,e3828b,る
82ea,e3828c,れ
82eb,e3828d,ろ
82ec,e3828e,ゎ
82ed,e3828f,わ
82ee,e38290,ゐ
82ef,e38291,ゑ
82f0,e38292,を
82f1,e38293,ん
8340,e382a1,ァ
8341,e382a2,ア
8342,e382a3,ィ
8343,e382a4,イ
8344,e382a5,ゥ
8345,e382a6,ウ
8346,e382a7,ェ
8347,e382a8,エ
8348,e382a9,ォ
8349,e382aa,オ
834a,e382ab,カ
834b,e382ac,ガ
834c,e382ad,キ
834d,e382ae,ギ
834e,e382af,ク
834f,e382b0,グ
8350,e382b1,ケ
8351,e382b2,ゲ
8352,e382b3,コ
8353,e382b4,ゴ
8354,e382b5,サ
8355,e382b6,ザ
8356,e382b7,シ
8357,e382b8,ジ
8358,e382b9,ス
8359,e382ba,ズ
835a,e382bb,セ
835b,e382bc,ゼ
835c,e382bd,ソ
835d,e382be,ゾ
835e,e382bf,タ
835f,e38380,ダ
8360,e38381,チ
8361,e38382,ヂ
8362,e38383,ッ
8363,e38384,ツ
8364,e38385,ヅ
8365,e38386,テ
8366,e38387,デ
8367,e38388,ト
8368,e38389,ド
8369,e3838a,ナ
836a,e3838b,ニ
836b,e3838c,ヌ
836c,e3838d,ネ
836d,e3838e,ノ
836e,e3838f,ハ
836f,e38390,バ
8370,e38391,パ
8371,e38392,ヒ
8372,e38393,ビ
8373,e38394,ピ
8374,e38395,フ
8375,e38396,ブ
8376,e38397,プ
8377,e38398,ヘ
8378,e38399,ベ
8379,e3839a,ペ
837a,e3839b,ホ
837b,e3839c,ボ
837c,e3839d,ポ
837d,e3839e,マ
837e,e3839f,ミ
8380,e383a0,ム
8381,e383a1,メ
8382,e383a2,モ
8383,e383a3,ャ
8384,e383a4,ヤ
8385,e383a5,ュ
8386,e383a6,ユ
8387,e383a7,ョ
8388,e383a8,ヨ
8389,e383a9,ラ
838a,e383aa,リ
838b,e383ab,ル
838c,e383ac,レ
838d,e383ad,ロ
838e,e383ae,ヮ
838f,e383af,ワ
8390,e383b0,ヰ
8391,e383b1,ヱ
8392,e383b2,ヲ
8393,e383b3,ン
8394,e383b4,ヴ
8395,e383b5,ヵ
8396,e383b6,ヶ
839f,ce91,Α
83a1,ce93,Γ
83a2,ce94,Δ
83a3,ce95,Ε
83a6,ce98,Θ
83a7,ce99,Ι
83a8,ce9a,Κ
83a9,ce9b,Λ
83aa,ce9c,Μ
83ae,cea0,Π
83b0,cea3,Σ
83b1,cea4,Τ
83b2,cea5,Υ
83b3,cea6,Φ
83b4,cea7,Χ
83b6,cea9,Ω
83bf,ceb1,α
83c0,ceb2,β
83c1,ceb3,γ
83c2,ceb4,δ
83c3,ceb5,ε
83c4,ceb6,ζ
83c5,ceb7,η
83c6,ceb8,θ
83c7,ceb9,ι
83c8,ceba,κ
83c9,cebb,λ
83ca,cebc,μ
83cb,cebd,ν
83cc,cebe,ξ
83cd,cebf,ο
83ce,cf80,π
83cf,cf81,ρ
83d0,cf83,σ
83d1,cf84,τ
83d2,cf85,υ
83d3,cf86,φ
83d4,cf87,χ
83d5,cf88,ψ
83d6,cf89,ω
8440,d090,А
8441,d091,Б
8442,d092,В
8443,d093,Г
8444,d094,Д
8445,d095,Е
8447,d096,Ж
8448,d097,З
8449,d098,И
844a,d099,Й
844b,d09a,К
844c,d09b,Л
844d,d09c,М
844e,d09d,Н
844f,d09e,О
8450,d09f,П
8451,d0a0,Р
8452,d0a1,С
8453,d0a2,Т
8454,d0a3,У
8455,d0a4,Ф
8456,d0a5,Х
8457,d0a6,Ц
8458,d0a7,Ч
8459,d0a8,Ш
845c,d0ab,Ы
845d,d0ac,Ь
845e,d0ad,Э
845f,d0ae,Ю
8460,d0af,Я
8470,d0b0,а
8471,d0b1,б
8472,d0b2,в
8473,d0b3,г
8474,d0b4,д
8475,d0b5,е
8476,d191,ё
8477,d0b6,ж
8478,d0b7,з
8479,d0b8,и
847a,d0b9,й
847b,d0ba,к
847c,d0bb,л
847d,d0bc,м
847e,d0bd,н
8480,d0be,о
8481,d0bf,п
8482,d180,р
8483,d181,с
8484,d182,т
8485,d183,у
8486,d184,ф
8487,d185,х
8488,d186,ц
8489,d187,ч
848a,d188,ш
848b,d189,щ
848d,d18b,ы
848e,d18c,ь
8490,d18e,ю
8491,d18f,я
849f,e29480,─
84a0,e29482,│
84a1,e2948c,┌
84a2,e29490,┐
84a3,e29498,┘
84a4,e29494,└
84a5,e2949c,├
84a6,e294ac,┬
84a7,e294a4,┤
84a8,e294b4,┴
84a9,e294bc,┼
84aa,e29481,━
84ab,e29483,┃
84ac,e2948f,┏
84ad,e29493,┓
84ae,e2949b,┛
84af,e29497,┗
84b0,e294a3,┣
84b5,e294a0,┠
84b6,e294af,┯
84b7,e294a8,┨
84b8,e294b7,┷
8754,e285a0,Ⅰ
889f,e4ba9c,亜
88a0,e59496,唖
88a1,e5a883,娃
88a2,e998bf,阿
88a3,e59380,哀
88a4,e6849b,愛
88a5,e68ca8,挨
88a6,e5a7b6,姶
88a7,e980a2,逢
88a8,e891b5,葵
88a9,e88c9c,茜
88ab,e682aa,悪
88ac,e68fa1,握
88ad,e6b8a5,渥
88ae,e697ad,旭
88af,e891a6,葦
88b0,e88aa6,芦
88b1,e9afb5,鯵
88b2,e6a293,梓
88b3,e59ca7,圧
88b4,e696a1,斡
88b5,e689b1,扱
88b6,e5ae9b,宛
88b7,e5a790,姐
88b8,e899bb,虻
88b9,e9a3b4,飴
88ba,e7b5a2,絢
88bb,e7b6be,綾
88bc,e9ae8e,鮎
88bd,e68896,或
88be,e7b29f,粟
88bf,e8a2b7,袷
88c0,e5ae89,安
88c1,e5bab5,庵
88c2,e68c89,按
88c3,e69a97,暗
88c4,e6a188,案
88c5,e99787,闇
88c6,e99e8d,鞍
88c7,e69d8f,杏
88c8,e4bba5,以
88c9,e4bc8a,伊
88ca,e4bd8d,位
88cb,e4be9d,依
88cc,e58189,偉
88cd,e59bb2,囲
88ce,e5a4b7,夷
88cf,e5a794,委
88d0,e5a881,威
88d1,e5b089,尉
88d2,e6839f,惟
88d3,e6848f,意
88d4,e685b0,慰
88d5,e69893,易
88d6,e6a485,椅
88d7,e782ba,為
88d8,e7958f,畏
88d9,e795b0,異
88da,e7a7bb,移
88db,e7b6ad,維
88dc,e7b7af,緯
88dd,e88383,胃
88de,e8908e,萎
88df,e8a1a3,衣
88e0,e8ac82,謂
88e1,e98195,違
88e2,e981ba,遺
88e3,e58cbb,医
88e4,e4ba95,井
88e5,e4baa5,亥
88e6,e59f9f,域
88e7,e882b2,育
88e8,e98381,郁
88e9,e7a3af,磯
88ea,e4b880,一
88eb,e5a3b1,壱
88ec,e6baa2,溢
88ed,e980b8,逸
88ee,e7a8b2,稲
88ef,e88ca8,茨
88f0,e88a8b,芋
88f1,e9b0af,鰯
88f2,e58581,允
88f3,e58db0,印
88f4,e592bd,咽
88f5,e593a1,員
88f6,e59ba0,因
88f7,e5a7bb,姻
88f8,e5bc95,引
88f9,e9a3b2,飲
88fa,e6b7ab,淫
88fb,e883a4,胤
88fc,e894ad,蔭
8940,e999a2,院
8941,e999b0,陰
8942,e99aa0,隠
8943,e99fbb,韻
8944,e5908b,吋
8945,e58fb3,右
8946,e5ae87,宇
8947,e7838f,烏
8948,e7bebd,羽
8949,e8bf82,迂
894a,e99ba8,雨
894b,e58daf,卯
894c,e9b59c,鵜
894d,e7aaba,窺
894e,e4b891,丑
894f,e7a293,碓
8950,e887bc,臼
8951,e6b8a6,渦
8952,e59898,嘘
8953,e59484,唄
8954,e6ac9d,欝
8955,e8949a,蔚
8956,e9b0bb,鰻
8957,e5a7a5,姥
8958,e58ea9,厩
8959,e6b5a6,浦
895a,e7939c,瓜
895b,e9968f,閏
895c,e59982,噂
895d,e4ba91,云
895e,e9818b,運
895f,e99bb2,雲
8960,e88d8f,荏
8961,e9a48c,餌
8962,e58fa1,叡
8963,e596b6,営
8964,e5acb0,嬰
8965,e5bdb1,影
8966,e698a0,映
8967,e69bb3,曳
8968,e6a084,栄
8969,e6b0b8,永
896a,e6b3b3,泳
896b,e6b4a9,洩
896c,e7919b,瑛
896d,e79b88,盈
896e,e7a98e,穎
896f,e9a0b4,頴
8970,e88bb1,英
8971,e8a19b,衛
8972,e8a9a0,詠
8973,e98bad,鋭
8974,e6b6b2,液
8975,e796ab,疫
8976,e79b8a,益
8977,e9a785,駅
8978,e682a6,悦
8979,e8ac81,謁
897a,e8b68a,越
897b,e996b2,閲
897c,e6a68e,榎
897d,e58ead,厭
897e,e58686,円
8980,e59c92,園
8981,e5a0b0,堰
8982,e5a584,奄
8983,e5aeb4,宴
8984,e5bbb6,延
8985,e680a8,怨
8986,e68ea9,掩
8987,e68fb4,援
8988,e6b2bf,沿
8989,e6bc94,演
898a,e7828e,炎
898b,e78494,焔
898c,e78599,煙
898d,e78795,燕
898e,e78cbf,猿
898f,e7b881,縁
8990,e889b6,艶
8991,e88b91,苑
8992,e89697,薗
8993,e981a0,遠
8994,e9899b,鉛
8995,e9b49b,鴛
8996,e5a1a9,塩
8997,e696bc,於
8998,e6b19a,汚
8999,e794a5,甥
899a,e587b9,凹
899b,e5a4ae,央
899c,e5a5a5,奥
899d,e5be80,往
899e,e5bf9c,応
899f,e68abc,押
89a0,e697ba,旺
89a1,e6a8aa,横
89a2,e6aca7,欧
89a3,e6aeb4,殴
89a4,e78e8b,王
89a5,e7bf81,翁
89a6,e8a596,襖
89a7,e9b4ac,鴬
89a8,e9b48e,鴎
89a9,e9bb84,黄
89aa,e5b2a1,岡
89ab,e6b296,沖
89ac,e88dbb,荻
89ad,e58484,億
89ae,e5b18b,屋
89af,e686b6,憶
89b0,e88786,臆
89b1,e6a1b6,桶
89b2,e789a1,牡
89b3,e4b999,乙
89b4,e4bfba,俺
89b5,e58db8,卸
89b6,e681a9,恩
89b7,e6b8a9,温
89b8,e7a98f,穏
89b9,e99fb3,音
89ba,e4b88b,下
89bb,e58c96,化
89bc,e4bbae,仮
89bd,e4bd95,何
89be,e4bcbd,伽
89bf,e4bea1,価
89c0,e4bdb3,佳
89c1,e58aa0,加
89c2,e58faf,可
89c3,e59889,嘉
89c4,e5a48f,夏
89c5,e5ab81,嫁
89c6,e5aeb6,家
89c7,e5afa1,寡
89c8,e7a791,科
89c9,e69a87,暇
89ca,e69e9c,果
89cb,e69eb6,架
89cc,e6ad8c,歌
89cd,e6b2b3,河
89ce,e781ab,火
89cf,e78f82,珂
89d0,e7a68d,禍
89d1,e7a6be,禾
89d2,e7a8bc,稼
89d3,e7ae87,箇
89d4,e88ab1,花
89d5,e88b9b,苛
89d6,e88c84,茄
89d7,e88db7,荷
89d8,e88faf,華
89d9,e88f93,菓
89da,e89da6,蝦
89db,e8aab2,課
89dc,e598a9,嘩
89dd,e8b2a8,貨
89de,e8bfa6,迦
89df,e9818e,過
89e0,e99c9e,霞
89e1,e89a8a,蚊
89e2,e4bf84,俄
89e3,e5b3a8,峨
89e4,e68891,我
89e5,e78999,牙
89e6,e794bb,画
89e7,e887a5,臥
89e8,e88abd,芽
89e9,e89bbe,蛾
89ea,e8b380,賀
89eb,e99b85,雅
89ec,e9a493,餓
89ed,e9a795,駕
89ee,e4bb8b,介
89ef,e4bc9a,会
89f0,e8a7a3,解
89f1,e59b9e,回
89f2,e5a18a,塊
89f3,e5a38a,壊
89f4,e5bbbb,廻
89f5,e5bfab,快
89f6,e680aa,怪
89f7,e68294,悔
89f8,e681a2,恢
89f9,e68790,懐
89fa,e68892,戒
89fb,e68b90,拐
89fc,e694b9,改
8a40,e9ad81,魁
8a41,e699a6,晦
8a42,e6a2b0,械
8a43,e6b5b7,海
8a44,e781b0,灰
8a45,e7958c,界
8a46,e79a86,皆
8a47,e7b5b5,絵
8a48,e88aa5,芥
8a49,e89fb9,蟹
8a4a,e9968b,開
8a4b,e99a8e,階
8a4c,e8b29d,貝
8a4d,e587b1,凱
8a4e,e58abe,劾
8a4f,e5a496,外
8a50,e592b3,咳
8a51,e5aeb3,害
8a52,e5b496,崖
8a53,e685a8,慨
8a54,e6a682,概
8a55,e6b6af,涯
8a56,e7a28d,碍
8a57,e8938b,蓋
8a58,e8a197,街
8a59,e8a9b2,該
8a5a,e98ea7,鎧
8a5b,e9aab8,骸
8a5c,e6b5ac,浬
8a5d,e9a6a8,馨
8a5e,e89b99,蛙
8a5f,e59ea3,垣
8a60,e69fbf,柿
8a61,e89b8e,蛎
8a62,e9888e,鈎
8a63,e58a83,劃
8a64,e59a87,嚇
8a65,e59084,各
8a66,e5bb93,廓
8a67,e68ba1,拡
8a68,e692b9,撹
8a69,e6a0bc,格
8a6a,e6a0b8,核
8a6b,e6aebb,殻
8a6c,e78db2,獲
8a6d,e7a2ba,確
8a6e,e7a9ab,穫
8a6f,e8a69a,覚
8a70,e8a792,角
8a71,e8b5ab,赫
8a72,e8bc83,較
8a73,e983ad,郭
8a74,e996a3,閣
8a75,e99a94,隔
8a76,e99da9,革
8a77,e5ada6,学
8a78,e5b2b3,岳
8a79,e6a5bd,楽
8a7a,e9a18d,額
8a7b,e9a18e,顎
8a7c,e68e9b,掛
8a7d,e7aca0,笠
8a7e,e6a8ab,樫
8a80,e6a9bf,橿
8a81,e6a2b6,梶
8a82,e9b08d,鰍
8a83,e6bd9f,潟
8a84,e589b2,割
8a85,e5969d,喝
8a86,e681b0,恰
8a87,e68bac,括
8a88,e6b4bb,活
8a89,e6b887,渇
8a8a,e6bb91,滑
8a8b,e8919b,葛
8a8c,e8a490,褐
8a8d,e8bd84,轄
8a8e,e4b894,且
8a8f,e9b0b9,鰹
8a90,e58fb6,叶
8a91,e6a49b,椛
8a92,e6a8ba,樺
8a93,e99e84,鞄
8a94,e6a0aa,株
8a95,e5859c,兜
8a96,e7ab83,竃
8a97,e892b2,蒲
8a98,e9879c,釜
8a99,e98e8c,鎌
8a9a,e5999b,噛
8a9b,e9b4a8,鴨
8a9c,e6a0a2,栢
8a9d,e88c85,茅
8a9e,e890b1,萱
8a9f,e7b2a5,粥
8aa0,e58888,刈
8aa1,e88b85,苅
8aa2,e793a6,瓦
8aa3,e4b9be,乾
8aa4,e4be83,侃
8aa5,e586a0,冠
8aa6,e5af92,寒
8aa7,e5888a,刊
8aa8,e58b98,勘
8aa9,e58ba7,勧
8aaa,e5b7bb,巻
8aab,e5969a,喚
8aac,e5a0aa,堪
8aad,e5a7a6,姦
8aae,e5ae8c,完
8aaf,e5ae98,官
8ab0,e5af9b,寛
8ab1,e5b9b2,干
8ab2,e5b9b9,幹
8ab3,e682a3,患
8ab4,e6849f,感
8ab5,e685a3,慣
8ab6,e686be,憾
8ab7,e68f9b,換
8ab8,e695a2,敢
8ab9,e69f91,柑
8aba,e6a193,桓
8abb,e6a3ba,棺
8abc,e6acbe,款
8abd,e6ad93,歓
8abe,e6b197,汗
8abf,e6bca2,漢
8ac0,e6be97,澗
8ac1,e6bd85,潅
8ac2,e792b0,環
8ac3,e79498,甘
8ac4,e79ba3,監
8ac5,e79c8b,看
8ac6,e7abbf,竿
8ac7,e7aea1,管
8ac8,e7b0a1,簡
8ac9,e7b7a9,緩
8aca,e7bcb6,缶
8acb,e7bfb0,翰
8acc,e8829d,肝
8acd,e889a6,艦
8ace,e88e9e,莞
8acf,e8a6b3,観
8ad0,e8ab8c,諌
8ad1,e8b2ab,貫
8ad2,e98284,還
8ad3,e99191,鑑
8ad4,e99693,間
8ad5,e99691,閑
8ad6,e996a2,関
8ad7,e999a5,陥
8ad8,e99f93,韓
